"filename", "language", "Groovy", "YAML", "Dockerfile", "JSON", "Markdown", "Batch", "HTML", "JavaScript", "CSS", "Properties", "XML", "SQL", "Java", "comment", "blank", "total"
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\surveyprogram\audit\SurveyProgramAuditRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 7, 25
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\surveyprogram\audit\SurveyProgramAuditService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 5, 20
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\surveyprogram\web\SurveyProgramAuditController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 18, 12, 80
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\surveyprogram\web\SurveyProgramController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 11, 18, 85
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\TopicGroup.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 28, 62, 323
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\TopicGroupFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 14, 45
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\TopicGroupFragmentBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 4, 13, 77
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\TopicGroupRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 12, 38
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\TopicGroupService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 10, 26
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\TopicGroupServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 5, 34, 217
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\audit\TopicGroupAuditRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 5, 22
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\audit\TopicGroupAuditService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 7, 23
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\audit\TopicGroupAuditServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 3, 31, 147
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\json\TopicGroupJson.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 3, 32, 139
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\json\TopicGroupRevisionJson.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 3, 34, 139
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\web\TopicGroupAuditController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 8, 16, 96
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\topicgroup\web\TopicGroupController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 3, 31, 188
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\Universe.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 3, 20, 86
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\UniverseFragmentBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 10, 36
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\UniverseJsonEdit.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 13, 34
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\UniverseJsonView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 3, 26, 107
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\UniverseRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 8, 21
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\UniverseService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 5, 16
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\UniverseServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 8, 20, 91
